reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_37_BAR_CA1_1,37_BAR_CA1,"Barrow Island","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"Documents say 11 and 9 areas and couldn't find maps",local-authority:BAR,,,
D_37_BAR_CA2_1,37_BAR_CA2,"Biggar Village","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA3_1,37_BAR_CA3,"Central Barrow","https://www.barrowbc.gov.uk/conservation-areas","https://www.barrowbc.gov.uk/sites/default/files/attachment/3984.pdf",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA4_1,37_BAR_CA4,"Dalton-in-Furness","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA5_1,37_BAR_CA5,"Furness Abbey","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA6_1,37_BAR_CA6,"Ireleth","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA7_1,37_BAR_CA7,"North Scale","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA8_1,37_BAR_CA8,"North Vickerstown","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA9_1,37_BAR_CA9,"St George's Square","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA10_1,37_BAR_CA10,"South Vickerstown","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA11_1,37_BAR_CA11,"The Green Lindal","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
D_37_BAR_CA12_1,37_BAR_CA12,"Morecambe Bay","https://www.barrowbc.gov.uk/conservation-areas","see notes",area-appraisal,"",local-authority:BAR,,,
