reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_179_IOW_CA1_1,179_IOW_CA1,"Arreton","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/","Not yet been produced",area-appraisal,"",local-authority:IOW,,,
D_179_IOW_CA1_2,179_IOW_CA1,"Arreton","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/",https://iwc.iow.gov.uk/documentlibrary/download/arreton-conservation-area-boundary-map,area-map,"",local-authority:IOW,,,
D_179_IOW_CA2_1,179_IOW_CA2,"Bembridge","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/","https://iwc.iow.gov.uk/documentlibrary/download/bembridge-conservation-area-character-appraisal",area-appraisal,"",local-authority:IOW,,,
D_179_IOW_CA2_2,179_IOW_CA2,"Bembridge","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/",https://iwc.iow.gov.uk/documentlibrary/download/bembridge-conservation-area-character-map,area-map,"",local-authority:IOW,,,
D_179_IOW_CA3_1,179_IOW_CA3,"Bonchurch","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/","https://iwc.iow.gov.uk/documentlibrary/download/bonchurch-conservation-area-character-appraisal",area-appraisal,"",local-authority:IOW,,,
D_179_IOW_CA3_2,179_IOW_CA3,"Bonchurch","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/",https://iwc.iow.gov.uk/documentlibrary/download/bonchurch-conservation-area-boundary-map,area-map,"",local-authority:IOW,,,
D_179_IOW_CA4_1,179_IOW_CA4,"Brading","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/","https://iwc.iow.gov.uk/documentlibrary/download/brading-conservation-area-character-appraisal",area-appraisal,"",local-authority:IOW,,,
D_179_IOW_CA4_2,179_IOW_CA4,"Brading","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/",https://iwc.iow.gov.uk/documentlibrary/download/brading-conservation-area-boundary-map,area-map,"",local-authority:IOW,,,
D_179_IOW_CA5_1,179_IOW_CA5,"Briary","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/","https://iwc.iow.gov.uk/documentlibrary/download/briary-conservation-area-character-appraisal",area-appraisal,"",local-authority:IOW,,,
D_179_IOW_CA5_2,179_IOW_CA5,"Briary","https://www.iow.gov.uk/environment-and-planning/planning/heritage-assets/conservation-areas/",https://iwc.iow.gov.uk/documentlibrary/download/briary-conservation-area-boundary-map,area-map,"",local-authority:IOW,,,
