reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_181_ISL_CA1_1,181_ISL_CA1,"Clerkenwell Green","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA2_1,181_ISL_CA2,"New River","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA3_1,181_ISL_CA3,"Duncan Terrace/Colebrooke Row","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA4_1,181_ISL_CA4,"Arlington Square","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA5_1,181_ISL_CA5,"Highbury Fields","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA6_1,181_ISL_CA6,"St Mary Magdalene","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA7_1,181_ISL_CA7,"Whitehall Park","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA8_1,181_ISL_CA8,"Canonbury","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA9_1,181_ISL_CA9,"Charterhouse Square","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA10_1,181_ISL_CA10,"Barnsbury","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA11_1,181_ISL_CA11,"Tufnell Park","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA12_1,181_ISL_CA12,"Newington Green","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA13_1,181_ISL_CA13,"Cross Street","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
D_181_ISL_CA14_1,181_ISL_CA14,"Keystone Crescent","https://www.islington.gov.uk/planning/designandconservation/conservationareas","The server encountered an error and your request could not be completed",area-appraisal,"",local-authority:ISL,,,
