reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_220_NBL_CA1_1,220_NBL_CA1,"Acomb","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Acomb-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA1_2,220_NBL_CA1,"Acomb","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/AcombCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA2_1,220_NBL_CA2,"Allendale","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA2_2,220_NBL_CA2,"Allendale","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/AllendaleCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA3_1,220_NBL_CA3,"Alnmouth","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Alnmouth-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA3_2,220_NBL_CA3,"Alnmouth","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/AlnmouthCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA4_1,220_NBL_CA4,"Alnwick","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Alnwick-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA4_2,220_NBL_CA4,"Alnwick","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/AlnwickCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA5_1,220_NBL_CA5,"Amble","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Amble-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA5_2,220_NBL_CA5,"Amble","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/AmbleCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA6_1,220_NBL_CA6,"Bamburgh","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Bamburgh-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA6_2,220_NBL_CA6,"Bamburgh","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BamburghCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA7_1,220_NBL_CA7,"Beadnell","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Beadnell-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA7_2,220_NBL_CA7,"Beadnell","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Beadnell-CA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA8_1,220_NBL_CA8,"Bedlington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Bedlington-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA8_2,220_NBL_CA8,"Bedlington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BedlingtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA9_1,220_NBL_CA9,"Belford","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA9_2,220_NBL_CA9,"Belford","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BelfordCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA10_1,220_NBL_CA10,"Belsay","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA10_2,220_NBL_CA10,"Belsay","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BelsayCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA11_1,220_NBL_CA11,"Berwick-upon-Tweed","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Berwick-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA11_2,220_NBL_CA11,"Berwick-upon-Tweed","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BerwickUponTweedCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA12_1,220_NBL_CA12,"Blanchland","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA12_2,220_NBL_CA12,"Blanchland","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BlanchlandCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA13_1,220_NBL_CA13,"Blyth Bondicar Terrace","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA13_2,220_NBL_CA13,"Blyth Bondicar Terrace","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BlythBondicarTceCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA14_1,220_NBL_CA14,"Blyth Heritage (Harbour)","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Blyth-Heritage-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA14_2,220_NBL_CA14,"Blyth Heritage (Harbour)","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BlythHarbourAreaCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA15_1,220_NBL_CA15,"Blyth Central","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Blyth-Central-CA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA15_2,220_NBL_CA15,"Blyth Central","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BlythTownCentreCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA16_1,220_NBL_CA16,"Bothal","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Bothal-CA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA16_2,220_NBL_CA16,"Bothal","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BothalCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA17_1,220_NBL_CA17,"Broomley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Broomley-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA17_2,220_NBL_CA17,"Broomley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/BroomleyCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA18_1,220_NBL_CA18,"Cambo","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA18_2,220_NBL_CA18,"Cambo","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/CamboCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA19_1,220_NBL_CA19,"Capheaton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA19_2,220_NBL_CA19,"Capheaton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/CapheatonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA20_1,220_NBL_CA20,"Chatton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA20_2,220_NBL_CA20,"Chatton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/ChattonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA21_1,220_NBL_CA21,"Corbridge","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Corbridge-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA21_2,220_NBL_CA21,"Corbridge","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/CorbridgeCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA22_1,220_NBL_CA22,"Cramlington Village","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA22_2,220_NBL_CA22,"Cramlington Village","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/CramlingtonVillageCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA23_1,220_NBL_CA23,"Eglingham","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Eglingham-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA23_2,220_NBL_CA23,"Eglingham","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/EglinghamCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA24_1,220_NBL_CA24,"Embleton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Embleton-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA24_2,220_NBL_CA24,"Embleton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/EmbletonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA25_1,220_NBL_CA25,"Felton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Felton-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA25_2,220_NBL_CA25,"Felton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/FeltonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA26_1,220_NBL_CA26,"Glanton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Glanton-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA26_2,220_NBL_CA26,"Glanton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GlantonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA27_1,220_NBL_CA27,"Great Bavington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GreatBavington-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA27_2,220_NBL_CA27,"Great Bavington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GreatBavingtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA28_1,220_NBL_CA28,"Great Whittington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GreatWhittington-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA28_2,220_NBL_CA28,"Great Whittington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GreatWhittingtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA29_1,220_NBL_CA29,"Guyzance","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Guyzance-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA29_2,220_NBL_CA29,"Guyzance","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/GuyzanceCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA30_1,220_NBL_CA30,"Haltwhistle","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Haltwhistle-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA30_2,220_NBL_CA30,"Haltwhistle","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HaltwhistleCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA31_1,220_NBL_CA31,"Haydon Bridge","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Haydon-Bridge-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA31_2,220_NBL_CA31,"Haydon Bridge","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HaydonBridgeCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA32_1,220_NBL_CA32,"Hexham","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Hexham-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA32_2,220_NBL_CA32,"Hexham","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HexhamCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA33_1,220_NBL_CA33,"High Callerton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA33_2,220_NBL_CA33,"High Callerton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HighCallertonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA34_1,220_NBL_CA34,"Holy Island","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA34_2,220_NBL_CA34,"Holy Island","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Holy-Island-Map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA35_1,220_NBL_CA35,"Holywell","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA35_2,220_NBL_CA35,"Holywell","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HolywellCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA36_1,220_NBL_CA36,"Horsley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Horsley-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA36_2,220_NBL_CA36,"Horsley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HorsleyCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA37_1,220_NBL_CA37,"Humshaugh","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA37_2,220_NBL_CA37,"Humshaugh","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/HumshaughCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA38_1,220_NBL_CA38,"Kirknewton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Kirknewton-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA38_2,220_NBL_CA38,"Kirknewton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/KirknewtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA39_1,220_NBL_CA39,"Kirkwhelpington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Kirkwhelpington-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA39_2,220_NBL_CA39,"Kirkwhelpington","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/KirkwhelpingtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA40_1,220_NBL_CA40,"Lesbury","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Lesbury-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA40_2,220_NBL_CA40,"Lesbury","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/LesburyCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA41_1,220_NBL_CA41,"Longhirst","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA41_2,220_NBL_CA41,"Longhirst","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/LonghirstCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA42_1,220_NBL_CA42,"Longhorsley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA42_2,220_NBL_CA42,"Longhorsley","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Longhorsley-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA43_1,220_NBL_CA43,"Matfen","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA43_2,220_NBL_CA43,"Matfen","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/MatfenCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA44_1,220_NBL_CA44,"Middleton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA44_2,220_NBL_CA44,"Middleton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/MiddletonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA45_1,220_NBL_CA45,"Morpeth","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/MorpethCAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA45_2,220_NBL_CA45,"Morpeth","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/MorpethCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA46_1,220_NBL_CA46,"Netherwitton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","No Appraisal document",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA46_2,220_NBL_CA46,"Netherwitton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NetherwittonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA47_1,220_NBL_CA47,"Newbiggin-by-the-Sea","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewbigginCACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA47_2,220_NBL_CA47,"Newbiggin-by-the-Sea","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewbigginByTheSeaCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA48_1,220_NBL_CA48,"Newbrough","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Newbrough-CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA48_2,220_NBL_CA48,"Newbrough","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewbroughCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA49_1,220_NBL_CA49,"Newton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/Newton_CACA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA49_2,220_NBL_CA49,"Newton","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewtonCA-map.pdf,area-map,"",local-authority:NBL,,,
D_220_NBL_CA50_1,220_NBL_CA50,"Newton-on-the-Moor","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx","https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewtonOnTheMoor-CAA.pdf",area-appraisal,"",local-authority:NBL,,,
D_220_NBL_CA50_2,220_NBL_CA50,"Newton-on-the-Moor","https://www.northumberland.gov.uk/Planning/Conservation/Conservation.aspx",https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/Conservation/NewtonOnTheMoorCA-map.pdf,area-map,"",local-authority:NBL,,,
