reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
28_AMB_CA1,"Alderwasley",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004688
28_AMB_CA2,"Alfreton",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004694
28_AMB_CA3,"Belper and Milford",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004708
28_AMB_CA4,"Codnor Park",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004697
28_AMB_CA5,"Coxbench",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004715
28_AMB_CA6,"Crich",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004691
28_AMB_CA7,"Dethick, Lea & Holloway",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004687
28_AMB_CA8,"Duffield Bank",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004710
28_AMB_CA9,"Duffield",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004709
28_AMB_CA10,"Fritchley",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004692
28_AMB_CA11,"Golden Valley",,"No appraisal document","https://www.ambervalley.gov.uk/planning/planning-policy/conservation-areas/conservation-areas-in-amber-valley/",,,"",local-authority:AMB,,,,44004696
